model,mean_fpr,mean_tpr,sd_tpr,lower_tpr,upper_tpr,n_folds,mean_auc,sd_auc
MNB,0.4170854271356784,0.9884340480831707,0.0051684074871853536,0.9832656405959853,0.9936024555703561,30,0.922107379243075,0.006929879363607186
MNB,0.4221105527638191,0.988823911630929,0.005243911676755657,0.9835799999541733,0.9940678233076846,30,0.922107379243075,0.006929879363607186
MNB,0.4271356783919598,0.9888888888888887,0.005224301961033012,0.9836645869278557,0.9941131908499217,30,0.922107379243075,0.006929879363607186
MNB,0.4321608040201005,0.989278752436647,0.0050352857387311045,0.9842434666979158,0.9943140381753781,30,0.922107379243075,0.006929879363607186
MNB,0.4371859296482412,0.9894736842105262,0.005057356195814307,0.9844163280147119,0.9945310404063404,30,0.922107379243075,0.006929879363607186
MNB,0.44221105527638194,0.9896036387264455,0.004945577616032401,0.9846580611104131,0.994549216342478,30,0.922107379243075,0.006929879363607186
MNB,0.4472361809045226,0.9897985705003247,0.0050335506298791995,0.9847650198704455,0.9948321211302039,30,0.922107379243075,0.006929879363607186
MNB,0.45226130653266333,0.9899935022742039,0.005034852017576179,0.9849586502566278,0.99502835429178,30,0.922107379243075,0.006929879363607186
MNB,0.457286432160804,0.990188434048083,0.00508019056488727,0.9851082434831957,0.9952686246129703,30,0.922107379243075,0.006929879363607186
MNB,0.4623115577889447,0.9903183885640024,0.004949550145437641,0.9853688384185648,0.9952679387094401,30,0.922107379243075,0.006929879363607186
MNB,0.46733668341708545,0.9905133203378816,0.00490300370237705,0.9856103166355046,0.9954163240402587,30,0.922107379243075,0.006929879363607186
MNB,0.4723618090452261,0.9909681611435996,0.004563905777814841,0.9864042553657848,0.9955320669214145,30,0.922107379243075,0.006929879363607186
MNB,0.47738693467336685,0.9911630929174787,0.004305372140173011,0.9868577207773057,0.9954684650576517,30,0.922107379243075,0.006929879363607186
MNB,0.4824120603015075,0.9914879792072774,0.004358305932590853,0.9871296732746865,0.9958462851398683,30,0.922107379243075,0.006929879363607186
MNB,0.48743718592964824,0.991552956465237,0.004353793968030136,0.9871991624972069,0.9959067504332672,30,0.922107379243075,0.006929879363607186
MNB,0.49246231155778897,0.9917478882391162,0.004423952757064492,0.9873239354820517,0.9961718409961807,30,0.922107379243075,0.006929879363607186
MNB,0.49748743718592964,0.9919428200129954,0.004150414404852835,0.9877924056081425,0.9960932344178483,30,0.922107379243075,0.006929879363607186
MNB,0.5025125628140703,0.9921377517868745,0.004078763224556478,0.988058988562318,0.9962165150114309,30,0.922107379243075,0.006929879363607186
MNB,0.507537688442211,0.9922677063027939,0.0039148460900304246,0.9883528602127635,0.9961825523928244,30,0.922107379243075,0.006929879363607186
MNB,0.5125628140703518,0.9925276153346327,0.004000921202170551,0.9885266941324622,0.9965285365368033,30,0.922107379243075,0.006929879363607186
MNB,0.5175879396984925,0.9925925925925925,0.003945407413235125,0.9886471851793573,0.9965380000058276,30,0.922107379243075,0.006929879363607186
MNB,0.5226130653266332,0.9928525016244314,0.004073941673121181,0.9887785599513103,0.9969264432975525,30,0.922107379243075,0.006929879363607186
MNB,0.5276381909547738,0.9929824561403507,0.00414620292289064,0.9888362532174602,0.9971286590632413,30,0.922107379243075,0.006929879363607186
