model,repeat,fold,split_number,seed,n_validation,roc_auc,accuracy,f1_macro,f1_fake,f1_real,elapsed_seconds,batch_size,eval_batch_size,prediction_path,roc_path
SVC,2,3,8,49,1026,0.97497805592604,0.9385964912280702,0.938596432897143,0.9386562804284323,0.9385365853658536,157.1972351000877,,,predictions/SVC/repeat_2_fold_3_predictions.csv.gz,roc_raw/SVC/repeat_2_fold_3_roc.csv
SVC,2,4,9,50,1026,0.973575915096383,0.928849902534113,0.9288498349443086,0.928919182083739,0.9287804878048781,150.83645529998466,,,predictions/SVC/repeat_2_fold_4_predictions.csv.gz,roc_raw/SVC/repeat_2_fold_4_roc.csv
SVC,2,5,10,51,1025,0.9758733857212476,0.9229268292682927,0.9229194926346351,0.923671497584541,0.9221674876847291,182.99571000004653,,,predictions/SVC/repeat_2_fold_5_predictions.csv.gz,roc_raw/SVC/repeat_2_fold_5_roc.csv
SVC,3,1,11,52,1026,0.9781053239553292,0.9307992202729045,0.9307975767847083,0.9311348205625607,0.930460333006856,211.11951250000857,,,predictions/SVC/repeat_3_fold_1_predictions.csv.gz,roc_raw/SVC/repeat_3_fold_1_roc.csv
SVC,3,2,12,53,1026,0.9798304511549611,0.9249512670565302,0.9249494846820077,0.9245837414299706,0.9253152279340446,215.93834130000323,,,predictions/SVC/repeat_3_fold_2_predictions.csv.gz,roc_raw/SVC/repeat_3_fold_2_roc.csv
SVC,3,3,13,54,1026,0.9748906596141642,0.9298245614035088,0.9298202946574806,0.9303675048355898,0.9292730844793714,158.97473339992575,,,predictions/SVC/repeat_3_fold_3_predictions.csv.gz,roc_raw/SVC/repeat_3_fold_3_roc.csv
SVC,3,4,14,55,1026,0.969350493409178,0.9181286549707602,0.9181236771003942,0.918762088974855,0.9174852652259333,215.7786376000149,,,predictions/SVC/repeat_3_fold_4_predictions.csv.gz,roc_raw/SVC/repeat_3_fold_4_roc.csv
SVC,3,5,15,56,1025,0.971428408260234,0.9190243902439025,0.9190194572233312,0.9196515004840271,0.9183874139626353,168.58686229994055,,,predictions/SVC/repeat_3_fold_5_predictions.csv.gz,roc_raw/SVC/repeat_3_fold_5_roc.csv
SVC,4,1,16,57,1026,0.9765055914640404,0.9239766081871345,0.9239662072032014,0.9248554913294799,0.923076923076923,151.39733489998616,,,predictions/SVC/repeat_4_fold_1_predictions.csv.gz,roc_raw/SVC/repeat_4_fold_1_roc.csv
SVC,4,2,17,58,1026,0.9708970281454125,0.9307992202729045,0.9307975767847083,0.9311348205625607,0.930460333006856,212.52357740001756,,,predictions/SVC/repeat_4_fold_2_predictions.csv.gz,roc_raw/SVC/repeat_4_fold_2_roc.csv
SVC,4,3,18,59,1026,0.978481508080359,0.9259259259259259,0.9259157916338886,0.9267822736030829,0.9250493096646943,200.96931319998112,,,predictions/SVC/repeat_4_fold_3_predictions.csv.gz,roc_raw/SVC/repeat_4_fold_3_roc.csv
SVC,4,4,19,60,1026,0.9745239750882514,0.9200779727095516,0.9200670383418272,0.9210019267822737,0.9191321499013807,214.79056170000692,,,predictions/SVC/repeat_4_fold_4_predictions.csv.gz,roc_raw/SVC/repeat_4_fold_4_roc.csv
SVC,4,5,20,61,1025,0.970135843079922,0.9170731707317074,0.9170731707317074,0.9170731707317074,0.9170731707317074,206.6881159999175,,,predictions/SVC/repeat_4_fold_5_predictions.csv.gz,roc_raw/SVC/repeat_4_fold_5_roc.csv
