dataset_key,dataset,classifier,classifier_name,feature_set,repeat,fold,accuracy,elapsed_seconds
Lupac,Fake News Filipino 2024,RF,Random Forest,full,1,5,0.931640625,12.647457799990661
Lupac,Fake News Filipino 2024,RF,Random Forest,full,2,1,0.935672514619883,12.252917299978435
Lupac,Fake News Filipino 2024,RF,Random Forest,full,2,2,0.9083820662768031,11.897486899979413
Lupac,Fake News Filipino 2024,RF,Random Forest,full,2,3,0.9278752436647173,11.903886099928059
Lupac,Fake News Filipino 2024,RF,Random Forest,full,2,4,0.9220272904483431,12.479290499933995
Lupac,Fake News Filipino 2024,RF,Random Forest,full,2,5,0.9140625,11.856930000009015
Lupac,Fake News Filipino 2024,RF,Random Forest,full,3,1,0.9317738791423001,12.271288500051014
Lupac,Fake News Filipino 2024,RF,Random Forest,full,3,2,0.9142300194931774,11.903455000021495
Lupac,Fake News Filipino 2024,RF,Random Forest,full,3,3,0.9337231968810916,12.367488800082356
Lupac,Fake News Filipino 2024,RF,Random Forest,full,3,4,0.9200779727095516,11.783790100016631
Lupac,Fake News Filipino 2024,RF,Random Forest,full,3,5,0.935546875,12.256383800064214
Lupac,Fake News Filipino 2024,RF,Random Forest,full,4,1,0.9239766081871345,12.141978399944492
Lupac,Fake News Filipino 2024,RF,Random Forest,full,4,2,0.9376218323586745,12.12446859991178
Lupac,Fake News Filipino 2024,RF,Random Forest,full,4,3,0.9473684210526315,12.057310700067319
Lupac,Fake News Filipino 2024,RF,Random Forest,full,4,4,0.9083820662768031,11.964893299969845
Lupac,Fake News Filipino 2024,RF,Random Forest,full,4,5,0.9140625,12.011032000067644
Lupac,Fake News Filipino 2024,RF,Random Forest,full,5,1,0.9415204678362573,11.952197100035846
Lupac,Fake News Filipino 2024,RF,Random Forest,full,5,2,0.9239766081871345,11.769022400025278
Lupac,Fake News Filipino 2024,RF,Random Forest,full,5,3,0.9064327485380117,12.31850289995782
Lupac,Fake News Filipino 2024,RF,Random Forest,full,5,4,0.9278752436647173,12.009488000068814
Lupac,Fake News Filipino 2024,RF,Random Forest,full,5,5,0.931640625,12.265788900083862
Lupac,Fake News Filipino 2024,RF,Random Forest,full,6,1,0.9181286549707602,12.427787599968724
Lupac,Fake News Filipino 2024,RF,Random Forest,full,6,2,0.9259259259259259,11.932613600045443
Lupac,Fake News Filipino 2024,RF,Random Forest,full,6,3,0.9278752436647173,12.001450799987651
Lupac,Fake News Filipino 2024,RF,Random Forest,full,6,4,0.9220272904483431,11.568137699970976
Lupac,Fake News Filipino 2024,RF,Random Forest,full,6,5,0.9375,10.471667999983765
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,1,1,0.9376218323586745,10.039809699985199
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,1,2,0.9395711500974658,10.088405100046657
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,1,3,0.9571150097465887,10.282947800005786
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,1,4,0.9473684210526315,10.138227200019173
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,1,5,0.94140625,10.233654999989085
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,2,1,0.9512670565302144,10.237421000027098
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,2,2,0.9532163742690059,10.317057200009003
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,2,3,0.9473684210526315,10.192498599993996
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,2,4,0.9337231968810916,10.088362700073048
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,2,5,0.939453125,10.193993799970485
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,3,1,0.9551656920077972,10.375973100075498
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,3,2,0.9376218323586745,10.063242899952456
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,3,3,0.9434697855750487,10.392956400057301
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,3,4,0.9512670565302144,10.107109700096771
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,3,5,0.94140625,10.290569499949925
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,4,1,0.9473684210526315,10.311981500010006
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,4,2,0.9590643274853801,10.262948299990967
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,4,3,0.9649122807017544,10.127661800011992
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,4,4,0.9317738791423001,10.020672200014815
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,4,5,0.9375,10.24726820003707
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,5,1,0.9571150097465887,10.05781000002753
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,5,2,0.9571150097465887,10.263666500104591
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,5,3,0.9395711500974658,9.81090490007773
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,5,4,0.9649122807017544,10.267423800076358
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,5,5,0.947265625,10.257737400010228
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,6,1,0.9532163742690059,10.305075100040995
Lupac,Fake News Filipino 2024,SVC,Support Vector Classifier,full,6,2,0.9454191033138402,10.120090500102378
