dataset_key,dataset,fold_number,repeat_number,split_number,seed,train_size,validation_size,accuracy,f1_macro,f1_fake,f1_real,roc_auc,elapsed_seconds
lupac,Fake News Filipino 2024,8,2,3,49,2051,513,0.9317738791423001,0.9317479444556371,0.9304174950298211,0.9330783938814532,0.9821558852140078,75.68569670000579
lupac,Fake News Filipino 2024,9,2,4,50,2051,513,0.935672514619883,0.9355932203389831,0.9333333333333333,0.9378531073446328,0.9794351896887159,75.82034819992259
lupac,Fake News Filipino 2024,10,2,5,51,2052,512,0.9453125,0.9452715806190541,0.9437751004016064,0.946768060836502,0.983917236328125,75.81292569998186
lupac,Fake News Filipino 2024,11,3,1,52,2051,513,0.9376218323586745,0.937615906119843,0.937007874015748,0.9382239382239381,0.9827486624513619,75.81840549991466
lupac,Fake News Filipino 2024,12,3,2,53,2051,513,0.9259259259259259,0.9258625410733845,0.9236947791164659,0.928030303030303,0.9772388740272373,75.78169699991122
lupac,Fake News Filipino 2024,13,3,3,54,2051,513,0.935672514619883,0.9356568670302732,0.9346534653465347,0.9366602687140115,0.9834326361867703,75.76505749998614
lupac,Fake News Filipino 2024,14,3,4,55,2051,513,0.9376218323586745,0.9375684556407449,0.9357429718875502,0.9393939393939394,0.982163484922179,75.87657439999748
lupac,Fake News Filipino 2024,15,3,5,56,2052,512,0.92578125,0.92578125,0.92578125,0.92578125,0.982940673828125,75.8174391000066
lupac,Fake News Filipino 2024,16,4,1,57,2051,513,0.935672514619883,0.9356245698227574,0.9338677354709419,0.937381404174573,0.9812667193579766,75.93984969996382
lupac,Fake News Filipino 2024,17,4,2,58,2051,513,0.9454191033138402,0.9454139178548628,0.9448818897637795,0.945945945945946,0.9786904182879378,76.71732920000795
lupac,Fake News Filipino 2024,18,4,3,59,2051,513,0.9278752436647173,0.9278576993975789,0.9267326732673267,0.9289827255278311,0.9856973492217899,78.4010919999564
lupac,Fake News Filipino 2024,19,4,4,60,2051,513,0.9317738791423001,0.9317230285998943,0.9298597194388778,0.9335863377609108,0.9826498662451362,77.18033789994661
lupac,Fake News Filipino 2024,20,4,5,61,2052,512,0.93359375,0.93359375,0.93359375,0.93359375,0.9838485717773438,76.79970219999086
lupac,Fake News Filipino 2024,21,5,1,62,2051,513,0.9434697855750487,0.9434663484740816,0.9430255402750491,0.9439071566731141,0.9900975802529184,76.89656700007617
lupac,Fake News Filipino 2024,22,5,2,63,2051,513,0.935672514619883,0.935593220338983,0.9333333333333333,0.9378531073446327,0.9795947835603114,77.76832569995895
lupac,Fake News Filipino 2024,23,5,3,64,2051,513,0.9434697855750487,0.9434001027221366,0.9414141414141414,0.9453860640301319,0.9846789883268482,76.4997180000646
lupac,Fake News Filipino 2024,24,5,4,65,2051,513,0.9434697855750487,0.9434276522684839,0.9418837675350702,0.9449715370018975,0.9863357247081712,76.4542903000256
lupac,Fake News Filipino 2024,25,5,5,66,2052,512,0.935546875,0.9355466291299024,0.9354207436399217,0.935672514619883,0.980743408203125,76.47289690002799
lupac,Fake News Filipino 2024,26,6,1,67,2051,513,0.935672514619883,0.9356245698227574,0.9338677354709419,0.937381404174573,0.9854617582684826,76.50421719998121
lupac,Fake News Filipino 2024,27,6,2,68,2051,513,0.9337231968810916,0.9336927100757277,0.9322709163346613,0.9351145038167941,0.9820798881322957,76.29615269997157
lupac,Fake News Filipino 2024,28,6,3,69,2051,513,0.9473684210526315,0.9473612203714472,0.9467455621301776,0.9479768786127167,0.9845573929961089,76.58041269995738
lupac,Fake News Filipino 2024,29,6,4,70,2051,513,0.9298245614035088,0.9297474132684114,0.9274193548387097,0.9320754716981131,0.9721014713035019,76.57791120000184
lupac,Fake News Filipino 2024,30,6,5,71,2052,512,0.939453125,0.9394473502493144,0.9388560157790927,0.9400386847195359,0.9859161376953125,76.81239840004127
combined,Combined,1,1,1,42,4103,1026,0.928849902534113,0.9288141295845542,0.9272183449651047,0.9304099142040039,0.9767829797582542,152.6613591000205
combined,Combined,2,1,2,43,4103,1026,0.9152046783625731,0.9151981531358215,0.9144542772861357,0.9159420289855073,0.9757019253787489,158.50655709998682
combined,Combined,3,1,3,44,4103,1026,0.9181286549707602,0.9180760456273764,0.9159999999999999,0.9201520912547528,0.9777728379862369,159.13714000000618
combined,Combined,4,1,4,45,4103,1026,0.9181286549707602,0.9181274105599149,0.9178082191780823,0.9184466019417475,0.9677450611584191,156.5136966999853
combined,Combined,5,1,5,46,4104,1025,0.9209756097560976,0.9209729018674286,0.9214354995150339,0.9205103042198234,0.9771868908382065,156.07598850002978
combined,Combined,6,2,1,47,4103,1026,0.9025341130604289,0.9025281870242787,0.9017681728880157,0.9032882011605416,0.966793201326904,157.6578505000798
combined,Combined,7,2,2,48,4103,1026,0.9171539961013645,0.9171476208798256,0.9164208456243855,0.9178743961352657,0.972105377153084,155.84617340005934
combined,Combined,8,2,3,49,4103,1026,0.9171539961013645,0.9171501396031073,0.9165848871442591,0.9177153920619555,0.9747538653868806,156.87008200003766
combined,Combined,9,2,4,50,4103,1026,0.9278752436647173,0.9278530377668308,0.9265873015873015,0.9291187739463601,0.9803320299883344,159.13949870003853
combined,Combined,10,2,5,51,4104,1025,0.9141463414634147,0.91410309152687,0.9121756487025948,0.916030534351145,0.9757458424707602,154.88959169993177
combined,Combined,11,3,1,52,4103,1026,0.9239766081871345,0.9239693855835589,0.9232283464566929,0.9247104247104247,0.9761389069381272,152.91009769996163
combined,Combined,12,3,2,53,4103,1026,0.919103313840156,0.9190995480830342,0.9185475956820411,0.9196515004840271,0.9759850134324332,153.30007889994886
combined,Combined,13,3,3,54,4103,1026,0.9005847953216374,0.9004622496147919,0.896969696969697,0.9039548022598869,0.9708742291075315,153.10088599997107
combined,Combined,14,3,4,55,4103,1026,0.9103313840155945,0.9102546549835706,0.9076305220883533,0.912878787878788,0.970737434880248,152.7259171999758
combined,Combined,15,3,5,56,4104,1025,0.9170731707317074,0.9170681188431705,0.9164208456243855,0.9177153920619555,0.9736251979775827,152.76281129999552
combined,Combined,16,4,1,57,4103,1026,0.9093567251461988,0.9093111513885417,0.9072781655034894,0.9113441372735939,0.9717006942307034,152.464628500049
combined,Combined,17,4,2,58,4103,1026,0.9181286549707602,0.9181208767822939,0.9173228346456692,0.9189189189189187,0.9736139134928506,152.63318140001502
combined,Combined,18,4,3,59,4103,1026,0.9171539961013645,0.9171192746867383,0.9154228855721394,0.9188156638013372,0.9707108360027207,152.8066708999686
combined,Combined,19,4,4,60,4103,1026,0.9064327485380117,0.9064313263541883,0.9060665362035224,0.9067961165048544,0.9666013094247422,152.76697919995058
combined,Combined,20,4,5,61,4104,1025,0.9278048780487805,0.9277894135567402,0.9267326732673267,0.9288461538461538,0.9802860014619882,153.39831970003434
combined,Combined,21,5,1,62,4103,1026,0.9152046783625731,0.9151813923965233,0.9137760158572844,0.9165867689357622,0.968087046726628,152.6753047000384
combined,Combined,22,5,2,63,4103,1026,0.9220272904483431,0.9219846022241232,0.9201596806387226,0.9238095238095237,0.9733973226329848,150.7230150999967
combined,Combined,23,5,3,64,4103,1026,0.9220272904483431,0.922026994163424,0.9221789883268481,0.921875,0.9772256610771024,152.1557455000002
combined,Combined,24,5,4,65,4103,1026,0.9171539961013645,0.9170214891602719,0.9137055837563451,0.9203373945641987,0.977446051776615,153.21696199988946
combined,Combined,25,5,5,66,4104,1025,0.9209756097560976,0.9209680873848789,0.9201970443349754,0.9217391304347825,0.9772135416666665,153.74742209992837
combined,Combined,26,6,1,67,4103,1026,0.9220272904483431,0.9220246238030094,0.9224806201550386,0.9215686274509803,0.9779723295676922,152.68281249993015
combined,Combined,27,6,2,68,4103,1026,0.8966861598440545,0.8965442452284558,0.8927125506072875,0.9003759398496239,0.9700040658284219,152.37504309997894
combined,Combined,28,6,3,69,4103,1026,0.9152046783625731,0.9151755890584092,0.913604766633565,0.9167464114832535,0.9767563808807269,152.0871376999421
combined,Combined,29,6,4,70,4103,1026,0.9152046783625731,0.9152039533869685,0.9154518950437317,0.9149560117302051,0.9714404052148999,158.25196409993805
combined,Combined,30,6,5,71,4104,1025,0.9209756097560976,0.9209391881661606,0.9192422731804586,0.9226361031518625,0.9693781980994152,156.99704199994449
