accuracy,features,classifier,dataset
0.912280702,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.8791423,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.863547758,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.875243665,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.880859375,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.888888889,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.867446394,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.912280702,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.884990253,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.880859375,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.873294347,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.908382066,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.89668616,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.875243665,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.876953125,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.881091618,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.883040936,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.865497076,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.914230019,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.89453125,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.865497076,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.898635478,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.861598441,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.881091618,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.908203125,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",MNB,Lupac
0.937621832,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.943469786,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.95711501,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.951267057,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.947265625,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.95711501,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.943469786,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.943469786,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.937621832,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.939453125,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.961013645,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.931773879,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.947368421,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.955165692,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.943359375,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.949317739,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.955165692,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.961013645,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.929824561,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.94140625,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.953216374,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.953216374,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.93957115,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.961013645,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.9375,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.953216374,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.955165692,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.925925926,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.943469786,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.962890625,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",LR,Lupac
0.92202729,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Lupac
0.912280702,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Lupac
0.93957115,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Lupac
0.92202729,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Lupac
0.919921875,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Lupac
0.933723197,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Lupac
0.923976608,"['vectorizers', 'read', 'oov', 'sw', 'trad', 'syll', 'lex', 'morph']",RF,Lupac
