dataset_key,dataset,fold_number,repeat_number,split_number,seed,train_size,validation_size,accuracy,f1_macro,f1_fake,f1_real,roc_auc,elapsed_seconds
combined,Combined,10,2,5,51,4104,1025,0.9521951219512195,0.9521905713809762,0.9526570048309178,0.9517241379310345,0.9938798276072125,290.9667185000144
combined,Combined,11,3,1,52,4103,1026,0.9512670565302144,0.9512624266561275,0.9517374517374518,0.9507874015748031,0.9868088566662486,290.25343549996614
combined,Combined,12,3,2,53,4103,1026,0.9532163742690059,0.9532147742818058,0.9534883720930233,0.9529411764705883,0.9911235745851523,290.1855547000887
combined,Combined,13,3,3,54,4103,1026,0.9512670565302144,0.9512485317540265,0.9521988527724665,0.9502982107355865,0.9924554183813442,290.55119349993765
combined,Combined,14,3,4,55,4103,1026,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9949595127085638,290.41711609996855
combined,Combined,15,3,5,56,4104,1025,0.9346341463414635,0.9346301642646166,0.9351403678606002,0.9341199606686332,0.9866955257066277,291.19640500005335
combined,Combined,16,4,1,57,4103,1026,0.9541910331384016,0.9541812397916862,0.9548511047070124,0.9535113748763601,0.9908157875737643,291.5727472999133
combined,Combined,17,4,2,58,4103,1026,0.949317738791423,0.9493108048021344,0.9499036608863198,0.9487179487179488,0.992404120546113,290.18039679992944
combined,Combined,18,4,3,59,4103,1026,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9881464002219106,289.50908190000337
combined,Combined,19,4,4,60,4103,1026,0.9512670565302144,0.9512663158094732,0.9510763209393347,0.9514563106796117,0.9872534379049203,289.46946960000787
combined,Combined,20,4,5,61,4104,1025,0.9609756097560975,0.9609693314141667,0.9614643545279382,0.9604743083003953,0.9904818469785575,289.7506413999945
combined,Combined,21,5,1,62,4103,1026,0.9463937621832359,0.9463823018838882,0.94716618635927,0.9455984174085065,0.9855150112665245,289.88420410000253
combined,Combined,22,5,2,63,4103,1026,0.956140350877193,0.9561403092122449,0.9561830574488802,0.9560975609756097,0.9905839973553116,289.49329320003744
combined,Combined,23,5,3,64,4103,1026,0.949317738791423,0.9492851711026615,0.9505703422053231,0.948,0.9941178482268048,289.6383098999504
combined,Combined,24,5,4,65,4103,1026,0.9541910331384016,0.9541875080159036,0.9537856440511309,0.9545893719806763,0.9902515113862195,320.81161370000336
combined,Combined,25,5,5,66,4104,1025,0.9551219512195122,0.955116782039859,0.9555984555984556,0.9546351084812623,0.9921875,289.49183190008625
combined,Combined,26,6,1,67,4103,1026,0.9512670565302144,0.9512485317540265,0.9521988527724665,0.9502982107355865,0.991220470496145,289.8574063000269
combined,Combined,27,6,2,68,4103,1026,0.942495126705653,0.942488516039542,0.9431051108968178,0.941871921182266,0.9884978853892363,289.6807997999713
combined,Combined,28,6,3,69,4103,1026,0.956140350877193,0.9561399758898113,0.9562682215743439,0.9560117302052785,0.9927822045909663,293.7952124000294
combined,Combined,29,6,4,70,4103,1026,0.9580896686159844,0.9580886732639782,0.9582929194956352,0.9578844270323212,0.9865846661270894,288.8695241000969
combined,Combined,30,6,5,71,4104,1025,0.9463414634146341,0.9463314512451579,0.9455984174085064,0.9470644850818094,0.991917184454191,298.8489772999892
