dataset_key,dataset,feature_set,features,classifier,repeat,fold,accuracy
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,3,5,0.923828125
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,4,1,0.9064327485380117
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,4,2,0.9161793372319688
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,4,3,0.935672514619883
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,4,4,0.9103313840155945
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,4,5,0.9296875
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,5,1,0.9005847953216374
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,5,2,0.9181286549707602
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,5,3,0.9220272904483431
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,5,4,0.9259259259259259
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,5,5,0.939453125
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,6,1,0.9434697855750487
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,6,2,0.935672514619883
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,6,3,0.9044834307992202
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,6,4,0.9103313840155945
Cruz,Fake News Filipino 2020,+ Syllabic features (SYLL),"vectorizers,read,oov,sw,trad,syll",MNB,6,5,0.91015625
